ollama-1  | 2026-09-07T12:18:18.565176545Z Couldn't find '/root/.ollama/id_ed25519'. Generating new private key.
ollama-1  | 2026-09-07T12:18:18.566687753Z Your new public key is: 
ollama-1  | 2026-09-07T12:18:18.566701420Z 
ollama-1  | 2026-09-07T12:18:18.566703212Z ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIMuIpvg9hx+bYvFJVHll2MlO4uRVIgLHS6BmV3U2EbEa
ollama-1  | 2026-09-07T12:18:18.566704170Z 
ollama-1  | 2026-09-07T12:18:18.574229712Z time=2026-09-07T12:18:18.572Z level=INFO source=routes.go:1961 msg="server config" env="map[CUDA_VISIBLE_DEVICES: GGML_VK_VISIBLE_DEVICES: GPU_DEVICE_ORDINAL: HIP_VISIBLE_DEVICES: HSA_OVERRIDE_GFX_VERSION: HTTPS_PROXY: HTTP_PROXY: LLAMA_ARG_FIT: LLAMA_ARG_FIT_TARGET: NO_PROXY: OLLAMA_CONTEXT_LENGTH:0 OLLAMA_DEBUG:INFO OLLAMA_DEBUG_LOG_REQUESTS:false OLLAMA_EDITOR: OLLAMA_FLASH_ATTENTION:false OLLAMA_GO_TEMPLATE:true OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://0.0.0.0:11434 OLLAMA_IGPU_ENABLE: OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MAX_TRANSFER_STREAMS:4 OLLAMA_MODELS:/root/.ollama/models OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NO_CLOUD:false OLLAMA_NUM_PARALLEL:1 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://* vscode-file://*] OLLAMA_REMOTES:[ollama.com] OLLAMA_SCHED_SPREAD:false OLLAMA_VULKAN:true ROCR_VISIBLE_DEVICES: http_proxy: https_proxy: no_proxy:]"
ollama-1  | 2026-09-07T12:18:18.574245128Z time=2026-09-07T12:18:18.574Z level=INFO source=routes.go:1963 msg="Ollama cloud disabled: false"
ollama-1  | 2026-09-07T12:18:18.574703087Z time=2026-09-07T12:18:18.574Z level=INFO source=images.go:883 msg="total blobs: 0"
ollama-1  | 2026-09-07T12:18:18.574706378Z time=2026-09-07T12:18:18.574Z level=INFO source=images.go:890 msg="total unused blobs removed: 0"
ollama-1  | 2026-09-07T12:18:18.574906045Z time=2026-09-07T12:18:18.574Z level=INFO source=routes.go:2023 msg="Listening on [::]:11434 (version 0.31.1)"
ollama-1  | 2026-09-07T12:18:18.575975795Z time=2026-09-07T12:18:18.575Z level=INFO source=model_list_cache.go:111 msg="model list cache hydration complete" models=0 failures=0 elapsed=816.917µs
ollama-1  | 2026-09-07T12:18:18.590674378Z time=2026-09-07T12:18:18.590Z level=INFO source=runner.go:60 msg="discovering available GPUs..."
ollama-1  | 2026-09-07T12:18:18.751859087Z time=2026-09-07T12:18:18.751Z level=INFO source=types.go:50 msg="inference compute" id=cpu library=cpu compute="" name=cpu description=cpu libdirs=ollama driver="" pci_id="" type="" total="9.7 GiB" available="9.6 GiB"
ollama-1  | 2026-09-07T12:18:18.751879254Z time=2026-09-07T12:18:18.751Z level=INFO source=routes.go:2073 msg="vram-based default context" total_vram="0 B" default_num_ctx=4096
ollama-1  | 2026-09-07T12:18:19.053070420Z time=2026-09-07T12:18:19.053Z level=INFO source=model_recommendations.go:177 msg="model recommendations cache sleep scheduled" wait=3h19m29.85362233s consecutive_failures=0
ollama-1  | 2026-09-07T12:18:28.438398383Z [GIN] 2026/09/07 - 12:18:28 | 200 |     145.291µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:46:32.493343093Z [GIN] 2026/09/07 - 12:46:32 | 200 |     152.084µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:46:32.493760385Z [GIN] 2026/09/07 - 12:46:32 | 200 |     231.167µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:46:42.541571625Z [GIN] 2026/09/07 - 12:46:42 | 200 |      26.708µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:46:42.543206750Z [GIN] 2026/09/07 - 12:46:42 | 200 |    1.104458ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:46:52.616059339Z [GIN] 2026/09/07 - 12:46:52 | 200 |         211µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:46:52.616527297Z [GIN] 2026/09/07 - 12:46:52 | 200 |     318.833µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:47:02.685908052Z [GIN] 2026/09/07 - 12:47:02 | 200 |      42.792µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:47:02.686162885Z [GIN] 2026/09/07 - 12:47:02 | 200 |     143.667µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:47:12.745549209Z [GIN] 2026/09/07 - 12:47:12 | 200 |     133.917µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:47:12.745956000Z [GIN] 2026/09/07 - 12:47:12 | 200 |      269.25µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:47:22.835007589Z [GIN] 2026/09/07 - 12:47:22 | 200 |       156.5µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:47:22.835444797Z [GIN] 2026/09/07 - 12:47:22 | 200 |     292.417µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:47:32.883345677Z [GIN] 2026/09/07 - 12:47:32 | 200 |      20.875µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:47:32.883449218Z [GIN] 2026/09/07 - 12:47:32 | 200 |      68.125µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:47:42.975610334Z [GIN] 2026/09/07 - 12:47:42 | 200 |     164.208µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:47:42.975978417Z [GIN] 2026/09/07 - 12:47:42 | 200 |     249.833µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:47:53.032104422Z [GIN] 2026/09/07 - 12:47:53 | 200 |      77.625µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:47:53.032454672Z [GIN] 2026/09/07 - 12:47:53 | 200 |     204.291µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:48:03.102612260Z [GIN] 2026/09/07 - 12:48:03 | 200 |       86.25µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:48:03.103355052Z [GIN] 2026/09/07 - 12:48:03 | 200 |     200.834µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:48:13.155592417Z [GIN] 2026/09/07 - 12:48:13 | 200 |      24.792µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:48:13.155901542Z [GIN] 2026/09/07 - 12:48:13 | 200 |     118.375µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:48:23.217598005Z [GIN] 2026/09/07 - 12:48:23 | 200 |     115.833µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:48:23.217895547Z [GIN] 2026/09/07 - 12:48:23 | 200 |     249.666µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:48:33.283014677Z [GIN] 2026/09/07 - 12:48:33 | 200 |      22.792µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:48:33.283240094Z [GIN] 2026/09/07 - 12:48:33 | 200 |     107.709µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:48:43.348402751Z [GIN] 2026/09/07 - 12:48:43 | 200 |     122.416µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:48:43.349095292Z [GIN] 2026/09/07 - 12:48:43 | 200 |     550.084µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:48:53.394959881Z [GIN] 2026/09/07 - 12:48:53 | 200 |      21.042µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:48:53.395616214Z [GIN] 2026/09/07 - 12:48:53 | 200 |      89.709µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:49:03.467737927Z [GIN] 2026/09/07 - 12:49:03 | 200 |     341.042µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:49:03.468730677Z [GIN] 2026/09/07 - 12:49:03 | 200 |     650.042µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:49:13.607872084Z [GIN] 2026/09/07 - 12:49:13 | 200 |      91.083µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:49:13.608129709Z [GIN] 2026/09/07 - 12:49:13 | 200 |     172.917µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:49:23.661071297Z [GIN] 2026/09/07 - 12:49:23 | 200 |      37.208µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:49:23.661267506Z [GIN] 2026/09/07 - 12:49:23 | 200 |     134.333µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:49:33.723941302Z [GIN] 2026/09/07 - 12:49:33 | 200 |      20.166µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:49:33.724127094Z [GIN] 2026/09/07 - 12:49:33 | 200 |      75.417µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:49:43.816069209Z [GIN] 2026/09/07 - 12:49:43 | 200 |     557.458µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:49:43.817058959Z [GIN] 2026/09/07 - 12:49:43 | 200 |     669.458µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:49:53.868662131Z [GIN] 2026/09/07 - 12:49:53 | 200 |      24.708µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:49:53.868932422Z [GIN] 2026/09/07 - 12:49:53 | 200 |     100.125µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:50:03.928894094Z [GIN] 2026/09/07 - 12:50:03 | 200 |     128.125µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:50:03.929230219Z [GIN] 2026/09/07 - 12:50:03 | 200 |     244.958µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:50:13.980888209Z [GIN] 2026/09/07 - 12:50:13 | 200 |      32.709µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:50:13.981492668Z [GIN] 2026/09/07 - 12:50:13 | 200 |     144.959µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:50:24.029889256Z [GIN] 2026/09/07 - 12:50:24 | 200 |      20.417µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:50:24.030164297Z [GIN] 2026/09/07 - 12:50:24 | 200 |      75.125µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:50:34.092239469Z [GIN] 2026/09/07 - 12:50:34 | 200 |      78.334µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:50:34.092528469Z [GIN] 2026/09/07 - 12:50:34 | 200 |     158.709µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:50:44.168626959Z [GIN] 2026/09/07 - 12:50:44 | 200 |      31.625µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:50:44.168961418Z [GIN] 2026/09/07 - 12:50:44 | 200 |     130.458µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:50:54.224541256Z [GIN] 2026/09/07 - 12:50:54 | 200 |     122.416µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:50:54.224861839Z [GIN] 2026/09/07 - 12:50:54 | 200 |     181.125µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:51:01.825707010Z time=2026-09-07T12:51:01.825Z level=INFO source=download.go:179 msg="downloading fa8235e5b48f in 1 1.1 KB part(s)"
ollama-1  | 2026-09-07T12:51:03.317857844Z time=2026-09-07T12:51:03.316Z level=INFO source=download.go:179 msg="downloading 542b217f179c in 1 148 B part(s)"
ollama-1  | 2026-09-07T12:51:04.294003927Z [GIN] 2026/09/07 - 12:51:04 | 200 |          23µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:51:04.294155261Z [GIN] 2026/09/07 - 12:51:04 | 200 |      68.333µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:51:04.742684969Z time=2026-09-07T12:51:04.742Z level=INFO source=download.go:179 msg="downloading 8dde1baf1db0 in 1 78 B part(s)"
ollama-1  | 2026-09-07T12:51:06.170184553Z time=2026-09-07T12:51:06.169Z level=INFO source=download.go:179 msg="downloading 23291dc44752 in 1 483 B part(s)"
ollama-1  | 2026-09-07T12:51:09.918727472Z [GIN] 2026/09/07 - 12:51:09 | 200 |        32m40s |      172.18.0.5 | POST     "/api/pull"
ollama-1  | 2026-09-07T12:51:09.926752222Z [GIN] 2026/09/07 - 12:51:09 | 200 |     323.208µs |      172.18.0.5 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:51:14.418851751Z [GIN] 2026/09/07 - 12:51:14 | 200 |        40.5µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:51:14.419213501Z [GIN] 2026/09/07 - 12:51:14 | 200 |     249.375µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:51:24.472475673Z [GIN] 2026/09/07 - 12:51:24 | 200 |     142.291µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:51:24.473252214Z [GIN] 2026/09/07 - 12:51:24 | 200 |     556.542µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:51:34.534840678Z [GIN] 2026/09/07 - 12:51:34 | 200 |      35.834µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:51:34.535297636Z [GIN] 2026/09/07 - 12:51:34 | 200 |     295.625µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:51:44.622009585Z [GIN] 2026/09/07 - 12:51:44 | 200 |     227.459µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:51:44.627717168Z [GIN] 2026/09/07 - 12:51:44 | 200 |    5.153709ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:51:54.681609089Z [GIN] 2026/09/07 - 12:51:54 | 200 |      44.791µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:51:54.682114173Z [GIN] 2026/09/07 - 12:51:54 | 200 |     295.042µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:52:04.738014844Z [GIN] 2026/09/07 - 12:52:04 | 200 |     145.583µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:52:04.738884053Z [GIN] 2026/09/07 - 12:52:04 | 200 |     733.625µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:52:14.788289043Z [GIN] 2026/09/07 - 12:52:14 | 200 |      26.042µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:52:14.788606751Z [GIN] 2026/09/07 - 12:52:14 | 200 |     199.708µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:52:24.856522131Z [GIN] 2026/09/07 - 12:52:24 | 200 |     183.834µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:52:24.857509965Z [GIN] 2026/09/07 - 12:52:24 | 200 |     778.042µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:52:34.920311886Z [GIN] 2026/09/07 - 12:52:34 | 200 |     108.833µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:52:34.921040428Z [GIN] 2026/09/07 - 12:52:34 | 200 |     586.292µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:52:44.962565793Z [GIN] 2026/09/07 - 12:52:44 | 200 |      28.584µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:52:44.963094085Z [GIN] 2026/09/07 - 12:52:44 | 200 |         325µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:52:55.046777631Z [GIN] 2026/09/07 - 12:52:55 | 200 |     225.958µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:52:55.047728715Z [GIN] 2026/09/07 - 12:52:55 | 200 |     776.666µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:53:05.108062553Z [GIN] 2026/09/07 - 12:53:05 | 200 |     140.583µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:53:05.109028719Z [GIN] 2026/09/07 - 12:53:05 | 200 |     736.125µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:53:15.168371335Z [GIN] 2026/09/07 - 12:53:15 | 200 |      31.834µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:53:15.168941252Z [GIN] 2026/09/07 - 12:53:15 | 200 |     361.584µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:53:25.233573423Z [GIN] 2026/09/07 - 12:53:25 | 200 |      190.75µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:53:25.234558715Z [GIN] 2026/09/07 - 12:53:25 | 200 |      644.75µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:53:35.289242053Z [GIN] 2026/09/07 - 12:53:35 | 200 |      41.375µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:53:35.289818303Z [GIN] 2026/09/07 - 12:53:35 | 200 |      333.75µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:53:45.352386960Z [GIN] 2026/09/07 - 12:53:45 | 200 |         156µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:53:45.353206543Z [GIN] 2026/09/07 - 12:53:45 | 200 |     655.625µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:53:55.401193840Z [GIN] 2026/09/07 - 12:53:55 | 200 |          60µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:53:55.401770506Z [GIN] 2026/09/07 - 12:53:55 | 200 |     236.834µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:54:05.478206595Z [GIN] 2026/09/07 - 12:54:05 | 200 |     162.833µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:54:05.479208303Z [GIN] 2026/09/07 - 12:54:05 | 200 |     815.958µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:54:15.521683752Z [GIN] 2026/09/07 - 12:54:15 | 200 |      33.625µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:54:15.522108252Z [GIN] 2026/09/07 - 12:54:15 | 200 |     259.625µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:54:25.599148798Z [GIN] 2026/09/07 - 12:54:25 | 200 |     180.542µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:54:25.600214507Z [GIN] 2026/09/07 - 12:54:25 | 200 |     776.792µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:54:35.653479761Z [GIN] 2026/09/07 - 12:54:35 | 200 |      27.375µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:54:35.653840678Z [GIN] 2026/09/07 - 12:54:35 | 200 |      178.25µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:54:45.738526669Z [GIN] 2026/09/07 - 12:54:45 | 200 |      184.75µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:54:45.739671085Z [GIN] 2026/09/07 - 12:54:45 | 200 |     918.666µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:54:55.819046340Z [GIN] 2026/09/07 - 12:54:55 | 200 |     193.875µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:54:55.820029965Z [GIN] 2026/09/07 - 12:54:55 | 200 |       731.5µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:55:05.901408386Z [GIN] 2026/09/07 - 12:55:05 | 200 |      78.083µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:55:05.901986470Z [GIN] 2026/09/07 - 12:55:05 | 200 |      454.25µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:55:15.964576794Z [GIN] 2026/09/07 - 12:55:15 | 200 |      41.708µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:55:15.965027169Z [GIN] 2026/09/07 - 12:55:15 | 200 |     249.625µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:55:17.993814461Z [GIN] 2026/09/07 - 12:55:17 | 200 |      64.084µs |      172.18.0.4 | GET      "/api/version"
ollama-1  | 2026-09-07T12:55:17.994665628Z [GIN] 2026/09/07 - 12:55:17 | 200 |      148.25µs |      172.18.0.4 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:55:18.011685878Z [GIN] 2026/09/07 - 12:55:18 | 200 |   16.481958ms |      172.18.0.4 | POST     "/api/show"
ollama-1  | 2026-09-07T12:55:18.012333670Z [GIN] 2026/09/07 - 12:55:18 | 200 |      35.667µs |      172.18.0.4 | GET      "/api/ps"
ollama-1  | 2026-09-07T12:55:26.023654423Z [GIN] 2026/09/07 - 12:55:26 | 200 |     101.916µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:55:26.024299715Z [GIN] 2026/09/07 - 12:55:26 | 200 |     470.958µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:55:36.077318428Z [GIN] 2026/09/07 - 12:55:36 | 200 |      29.917µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:55:36.077729470Z [GIN] 2026/09/07 - 12:55:36 | 200 |     251.667µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:55:46.151699210Z [GIN] 2026/09/07 - 12:55:46 | 200 |     249.125µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:55:46.154956627Z [GIN] 2026/09/07 - 12:55:46 | 200 |     2.72225ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:55:56.221193673Z [GIN] 2026/09/07 - 12:55:56 | 200 |      41.292µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:55:56.221717840Z [GIN] 2026/09/07 - 12:55:56 | 200 |     324.333µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:56:06.287258637Z [GIN] 2026/09/07 - 12:56:06 | 200 |     142.625µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:56:06.288045803Z [GIN] 2026/09/07 - 12:56:06 | 200 |     635.292µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:56:16.360118627Z [GIN] 2026/09/07 - 12:56:16 | 200 |      33.375µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:56:16.360719919Z [GIN] 2026/09/07 - 12:56:16 | 200 |     294.416µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:56:26.424792090Z [GIN] 2026/09/07 - 12:56:26 | 200 |     126.292µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:56:26.425645674Z [GIN] 2026/09/07 - 12:56:26 | 200 |     750.542µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:56:36.484813970Z [GIN] 2026/09/07 - 12:56:36 | 200 |      38.292µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:56:36.485221095Z [GIN] 2026/09/07 - 12:56:36 | 200 |     213.583µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:56:46.557924544Z [GIN] 2026/09/07 - 12:56:46 | 200 |     160.333µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:56:46.559098086Z [GIN] 2026/09/07 - 12:56:46 | 200 |     969.291µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:56:56.617185507Z [GIN] 2026/09/07 - 12:56:56 | 200 |      29.583µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:56:56.617700632Z [GIN] 2026/09/07 - 12:56:56 | 200 |     349.334µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:57:06.688297095Z [GIN] 2026/09/07 - 12:57:06 | 200 |     173.125µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:57:06.689330970Z [GIN] 2026/09/07 - 12:57:06 | 200 |     883.875µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:57:16.753068336Z [GIN] 2026/09/07 - 12:57:16 | 200 |       260.5µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:57:16.756647419Z [GIN] 2026/09/07 - 12:57:16 | 200 |    2.035084ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:57:26.810746007Z [GIN] 2026/09/07 - 12:57:26 | 200 |      47.667µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:57:26.811228549Z [GIN] 2026/09/07 - 12:57:26 | 200 |     283.083µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:57:36.900959054Z [GIN] 2026/09/07 - 12:57:36 | 200 |      364.25µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:57:36.902927095Z [GIN] 2026/09/07 - 12:57:36 | 200 |    1.831458ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:57:46.997901919Z [GIN] 2026/09/07 - 12:57:46 | 200 |     257.333µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:57:46.999672294Z [GIN] 2026/09/07 - 12:57:46 | 200 |    1.022542ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:57:57.031846174Z [GIN] 2026/09/07 - 12:57:57 | 200 |      67.083µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:57:57.034581507Z [GIN] 2026/09/07 - 12:57:57 | 200 |     2.61925ms |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:58:07.082320179Z [GIN] 2026/09/07 - 12:58:07 | 200 |     167.375µs |       127.0.0.1 | HEAD     "/"
ollama-1  | 2026-09-07T12:58:07.083243387Z [GIN] 2026/09/07 - 12:58:07 | 200 |     728.209µs |       127.0.0.1 | GET      "/api/tags"
ollama-1  | 2026-09-07T12:58:17.138902461Z [GIN] 2026/09/07 - 12:58:17 | 200 |      18.459µs |       127.0.0.1 | HEAD     "/"
